ID_Client,Produit,Note,Commentaire
C065,Montre connectée,5,"Service client réactif, problème vite résolu."
C066,Smartphone,4,Bon rapport qualité/prix.
C067,Ordinateur portable,2,Livraison rapide et efficace.
C068,Smartphone,4,Produit conforme à la description.
C069,Tablette,2,"Batterie décevante, mais fonctionnalités correctes."
C070,Montre connectée,2,"Design élégant, mais un peu cher."
C071,Ordinateur portable,3,"Design élégant, mais un peu cher."
C072,Tablette,3,"Qualité médiocre, je ne rachèterai pas."
C073,Ordinateur portable,3,"Batterie décevante, mais fonctionnalités correctes."
C074,Tablette,5,"Batterie décevante, mais fonctionnalités correctes."
C075,Casque audio,3,"Très déçu, ne fonctionne pas comme prévu."
C076,Montre connectée,2,Bon rapport qualité/prix.
C077,Tablette,2,"Très déçu, ne fonctionne pas comme prévu."
C078,Casque audio,4,"Batterie décevante, mais fonctionnalités correctes."
C079,Tablette,1,"Qualité médiocre, je ne rachèterai pas."
C080,Tablette,2,Bon rapport qualité/prix.
C081,Montre connectée,3,"Service client réactif, problème vite résolu."
C082,Smartphone,1,Parfait pour mes besoins quotidiens.
C083,Tablette,2,"Très déçu, ne fonctionne pas comme prévu."
C084,Smartphone,2,"Qualité médiocre, je ne rachèterai pas."
C085,Montre connectée,4,"Design élégant, mais un peu cher."
C086,Montre connectée,1,Bon rapport qualité/prix.
C087,Ordinateur portable,2,Bon rapport qualité/prix.
C088,Smartphone,4,"Très déçu, ne fonctionne pas comme prévu."
C089,Smartphone,4,"Qualité médiocre, je ne rachèterai pas."
C090,Montre connectée,2,Livraison rapide et efficace.
C091,Casque audio,3,"Qualité médiocre, je ne rachèterai pas."
C092,Montre connectée,4,Livraison rapide et efficace.
C093,Montre connectée,2,Parfait pour mes besoins quotidiens.
C094,Tablette,4,Parfait pour mes besoins quotidiens.
C095,Tablette,5,Parfait pour mes besoins quotidiens.
C096,Montre connectée,5,"Très déçu, ne fonctionne pas comme prévu."
C097,Casque audio,5,"Très déçu, ne fonctionne pas comme prévu."
C098,Casque audio,2,"Qualité médiocre, je ne rachèterai pas."
C099,Tablette,5,"Service client réactif, problème vite résolu."
C100,Smartphone,5,Parfait pour mes besoins quotidiens.
